Technology,SiteCode,BSC_OR_RNCName,SiteName,Vendor,CityName,OMC,SiteType,Priority,Type,Region,OSV,ProposedRegion,Zone,MBU,Latitude,Longitude,_2G_OR_3G,Prime_OR_NotPrime,PMCLSiteIndoor_OR_Outdoor,GensetStatus,OMOColocation,CollocatedStatus,SitePowerProfileType,VLAN,Fixed/Non Fixed,Switch/Non Switch,P2P Links,PMP Links,MF Links,Total Links
2G,BGR2409,ISB644,BGR2409__S_SudhanGali,Huawei,BAGH,Huawei,Bronze,Bronze,Macro,North,HNL,R1,16.0,N3-MZR-02,34.0666,73.7484,2G,Standby,Indoor,Genset Installed,JAZZ,,,3061,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGR0449,ISB644,BGR0449__S_NoorGala,Huawei,BAGH,Huawei,Bronze,Bronze,Macro,North,HNL,R1,16.0,N3-MZR-02,34.0029,73.7989,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2217,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGH3054,ISB644,BGH3054__S_MainBazar,Huawei,BAGH,Huawei,Bronze,Bronze,Macro,North,HNL,R1,16.0,N3-MZR-02,33.9983,73.7758,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,3061,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGR3223,ISB644,BGR3223__S_IslamGarh,Huawei,BAGH,Huawei,Bronze,Bronze,Macro,North,HNL,R1,16.0,N3-MZR-02,34.0309,73.7001,2G,Standby,Outdoor,Genset Installed,JAZZ,,,3018,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGR3269,ISB644,BGR3269__S_Chand_Rat_warid_MR755463,Huawei,BAGH,Huawei,Gold,Gold,Macro,North,HNL,R1,16.0,N3-MZR-02,33.995,73.6551,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,3018,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGR3409,ISB644,BGR3409__S_NelaBut_1_warid_MDBU3417,Huawei,BAGH,Huawei,Bronze,Bronze,Macro,North,HNL,R1,12.0,N3-MZR-02,33.9956,73.5837,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/CM-PAK Host,,,3018,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGR5504,ISB644,BGR5504?_H_Village & PO Narola Rawalakot Bagh road,Huawei,BAGH,Huawei,Bronze,Bronze,Macro,North,HNL,R1,12.0,N3-MZR-02,33.94511,73.78788,2G/LTE,CP Prime,Outdoor,Genset not Installed,E.Co,,,3061,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGD8037,FSD330,BGD8037__S_Chak625Mehal,ZTE,JARRANWALA,ZTE,Gold,Gold,Macro,Central B,Mobiserve,R2,23.0,C5-FSD-01,31.372,73.506,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2852,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGD8038,FSD330,BGD8038__S_Chak534,ZTE,JARRANWALA,ZTE,Diamond,Diamond,Macro,Central B,Mobiserve,R2,23.0,C5-FSD-01,31.3186,73.4811,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,697,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,BGD8039,FSD330,BGD8039__S_Chak_628_GB,ZTE,JARRANWALA,ZTE,Gold,Gold,Macro,Central B,Mobiserve,R2,22.0,C5-FSD-01,31.2806,73.5341,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,697,Fixed Site,Non Switch,1,-   ,-   ,1
4G,LDNKHISTT,,STT0003,,KARACHI,,,,,,,,,,,,,,,,,,,,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK1805,ISB001,ATK1805__S_Sadiqabad,Huawei,ATTOCK,Huawei,Bronze,Bronze,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7825,72.3901,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,2277,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK1806,ISB001,ATK1806__S_MohallaQaimShah,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7689,72.3846,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK1801,ISB001,ATK1801__S_Darrusalamcolony,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7879,72.3621,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2277,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK1802,ISB001,ATK1802__S_Attock2,Huawei,ATTOCK,Huawei,Platinum,Platinum,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7668,72.3705,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,787,Fixed Site,Non Switch,1,-   ,-   ,1
2G,RUR1988,PSH001,RUR1988__S_BrothaPowerPlant,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,17.0,N3-HRP-06,33.7873,72.2849,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2201,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR2096,ISB006,RUR2096__S_Jalwal,Huawei,ATTOCK,Huawei,Bronze,Bronze,Macro,North,Mobiserve,R1,11.0,N3-TXA-07,33.5352,72.0264,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2287,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK2669,ISB001,ATK2669__P_HammadRoad,Huawei,ATTOCK,Huawei,Platinum,Platinum,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7685,72.3549,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3093,ISB001,ATK3093__S_PeopleColony,Huawei,ATTOCK,Huawei,Elite,Elite,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7934,72.3554,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,2277,Fixed Site,Non Switch,1,-   ,-   ,1
2G,ATK2706,ISB001,ATK2706__S_Mohalla_Sabri_Masjid_Attock_AT2730,Huawei,ATTOCK,Huawei,Bronze,Bronze,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7707,72.3918,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK0844,ISB001,ATK0844__S_Kamra_Attock_Road_615376,Huawei,ATTOCK,Huawei,Elite,Elite,Macro,North,HNL,R1,15.0,N3-HRP-06,33.8162,72.3596,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/UFONE Guest,,,680,Fixed Site,Non Switch,1,-   ,-   ,1
2G,ATK2375,ISB001,ATK2375__S_Shah_Faisalabad_Attock_AT2729,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7583,72.3453,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR+CM-PAK Guest,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK2707,ISB001,ATK2707__S_Village_Pendwala_Attock_AT2731,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7683,72.3217,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/CM-PAK Guest,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3868,ISB001,ATK3868__S_SaddarRoadAttock_AT3120,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7698,72.3772,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/CM-PAK Guest,,,2277,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3869,ISB001,ATK3869__S_Mohalla_Choi_Ghora_Building_AT3252,Huawei,ATTOCK,Huawei,Hub,Hub,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7624,72.3599,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3870,ISB001,ATK3870__S_Khurd_Mohalla_AT3253,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7718,72.332,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,2277,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3871,ISB001,ATK3871__S_SanjawalCanttAttock_AT3255,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7944,72.4118,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3872,ISB001,ATK3872__S_Cantt_2_AT3256,Huawei,ATTOCK,Huawei,Diamond,Diamond,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7666,72.36,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK3873,ISB001,ATK3873__S_Mohallah_Islam_Nagar_AT3257,Huawei,ATTOCK,Huawei,Gold,Gold,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7735,72.3846,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK5600,ISB001,ATK5600__S_Bijli_Ghar_Aminabad_AT3070,Huawei,ATTOCK,Huawei,Elite,Elite,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7668,72.3531,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/UFONE Guest,,,787,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK5652,ISB001,ATK5652__S_Mer_pura_Sharqi_AT3071,Huawei,ATTOCK,Huawei,Hub,Hub,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7781,72.3604,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2277,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK4089,ISB001,ATK4089_Sanjawal Cantt,Huawei,ATTOCK,Huawei,Bronze,Bronze,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7745,72.436,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/TELENOR Host,,,680,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATK4826,ISB001,ATK4826_H_Near Govt post graduate college,Huawei,ATTOCK,Huawei,Bronze,Bronze,Macro,North,HNL,R1,15.0,N3-HRP-06,33.7733,72.3606,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/PTCL Host,,,2277,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,AKI4617,ISB006,AKI4617_H_Dhoak Marala Village Boota Tehsil & District Attock,Huawei,ATTOCK,Huawei,Bronze,Bronze,Macro,North,HNL,R1,15.0,N3-HRP-06,33.70674,72.41163,2G/LTE,CP Prime,Outdoor,Genset not Installed,Enfrashare,,,679,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATH4921,FSD335,ATH4921__H_LYAAtharaHazari,ZTE,ATHARA HAZARI,ZTE,Hub,Hub,Macro,Central B,Mobiserve,R2,22.0,C5-JHG-06,31.1691,72.0954,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,3008,Fixed Site,Switch,3,-   ,-   ,3
2G,ATH8533,FSD335,ATH8533__S_AtharaHazari2,ZTE,ATHARA HAZARI,ZTE,Elite,Elite,Macro,Central B,Mobiserve,R2,22.0,C5-JHG-06,31.1068,72.0586,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,3008,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ATH8535,FSD335,ATH8535__S_DarbarPirTajDin,ZTE,ATHARA HAZARI,ZTE,Platinum,Platinum,Macro,Central B,Mobiserve,R2,22.0,C5-JHG-06,31.1741,72.1016,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,3008,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR5685,LHR012,RUR5685__S_AssalSulalman,Huawei,LAHORE,Huawei,Elite,Elite,Macro,Central A,Huawei,R1,2.0,C2-KSR-03,31.317337,74.35554,2G/LTE,CP Prime,Outdoor,Genset not Installed,Enfrashare,,,1816,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARN8599,FSD334,ARN8599__S_Chak237_Langrana,ZTE,CHINIOT,ZTE,Gold,Gold,Macro,Central B,Mobiserve,R2,22.0,C5-FSD-04,31.5023,72.7932,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR+CM-PAK Guest,,,2965,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARI7105,SUK342,ARI7105__S_Arija_UP,ZTE,MOHENJO DARO,ZTE,Gold,Gold,Macro,South,HNL,R2,29.0,S3-LRK-03,27.4132,68.1779,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/UFONE Host,,,3440,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARF6180,BHP350,ARF6180__S_Chak75_EB,ZTE,ARIFWALA,ZTE,Platinum,Platinum,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2447,73.0628,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2554,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARF6181,BHP350,ARF6181__S_Chak85EB,ZTE,ARIFWALA,ZTE,Bronze,Bronze,Macro,Central A,HNL,R1,2.0,C3-PKT-02,30.2171,73.0076,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1447,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW0867,BHP350,ARW0867__H_Chak59EB,ZTE,ARIFWALA,ZTE,Platinum,Platinum,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.3068,73.0709,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW1759,BHP350,ARW1759__S_Chowk Kamharanwala Warid_MDAW5538,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2986,73.0712,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2554,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW1760,BHP350,ARW1760__S_Iqbal Park Warid_MDAW5508,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2835,73.0674,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2554,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW1772,BHP350,ARW1772__S_Karkhana Bazar Warid_MDAW5850,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2893,73.0657,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2554,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW3115,BHP350,ARW3115__P_MuhammadiTownARW,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2845,73.0632,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW3906,BHP350,ARW3906__H_THQHospital,ZTE,ARIFWALA,ZTE,Diamond,Diamond,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2848,73.0712,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW4109,BHP350,ARW4109__H_ArifwalaRailway,ZTE,ARIFWALA,ZTE,Hub,Hub,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2925,73.0669,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,2553,Fixed Site,Switch,7,-   ,-   ,7
2G,ARW4402,BHP350,ARW4402__P_TikkaHouseARW,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2907,73.0601,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ARW7297,BHP350,ARW7297__P_HajiShaukatRiceFactory,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2995,73.0533,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY1645,BHP350,HWY1645__S_Chak 165EB Warid_MR115594,ZTE,ARIFWALA,ZTE,Platinum,Platinum,Macro,Central B,HNL,R1,25.0,C6-BRW-02,30.2615,72.9574,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1447,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY2025,BHP350,HWY2025__S_Chak22KB,ZTE,ARIFWALA,ZTE,Platinum,Platinum,Macro,Central A,HNL,R1,25.0,C3-PKT-02,30.1491,73.112,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1449,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0165,BHP350,RUR0165__S_ChakNo65Bhakha,ZTE,ARIFWALA,ZTE,Diamond,Diamond,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2821,73.0343,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0247,BHP350,RUR0247__S_Chak63EB,ZTE,ARIFWALA,ZTE,Elite,Elite,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.2936,73.091,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2553,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0250,MUL327,RUR0250__S_Chak70EB,ZTE,ARIFWALA,ZTE,Platinum,Platinum,Macro,Central A,HNL,R1,25.0,C3-SWL-01,30.3878,72.8921,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2994,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0254,PKP054,RUR0254__H_Chak25EB,Huawei,PAKPATTAN,Huawei,Diamond,Diamond,Macro,Central A,HNL,R1,1.0,C3-SWL-01,30.2652,73.1566,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK+TELENOR Guest,,,600,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0320,BHP350,RUR0320__S_Chak 95EB,ZTE,ARIFWALA,ZTE,Diamond,Diamond,Macro,Central B,HNL,R1,25.0,C6-BRW-02,30.2174,72.9561,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR+CM-PAK Guest,,,1447,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0321,BHP350,RUR0321__S_Chak 115 EB,ZTE,ARIFWALA,ZTE,Gold,Gold,Macro,Central B,HNL,R1,25.0,C6-BRW-02,30.1811,72.9305,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1447,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0343,BHP350,RUR0343__H_Chak43_EB,ZTE,ARIFWALA,ZTE,Gold,Gold,Macro,Central A,HNL,R1,25.0,C3-PKT-02,30.2091,73.091,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1449,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR4066,MUL319,RUR4066_S_Rampur 3,ZTE,JATTOI,ZTE,Bronze,Bronze,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.4877,70.749,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR4059,MUL319,RUR4059__S_Rampur Basti Khokhran,ZTE,JATTOI,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.5173,70.771,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/TELENOR Host,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1977,MUL319,RUR1977__S_Jahanpur Warid_SS6901,ZTE,JATTOI,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.4825,70.9006,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/UFONE Host,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR3587,MUL320,RUR3587__S_Bait Daraiye 57__XY6718,ZTE,JATTOI,ZTE,Bronze,Bronze,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.72618,70.80791,2G,CP Prime,Outdoor,Genset not Installed,Jazz Host/TELENOR Guest,,,2387,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY2610,MUL319,HWY2610__S_Kachahri Jatoi,ZTE,JATTOI,ZTE,Bronze,Bronze,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.499664,70.86157,2G/LTE,DC Shared,Outdoor,Genset not Installed,Enfrashare,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JTO1692,MUL319,JTO1692__S_Thana Road jatoi,ZTE,JATTOI,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,16.0,C7-APR-01,29.50991,70.84745,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/UFONE Host,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1738,MUL319,RUR1738__S_Basti Ali Shah Bukhari MGH,ZTE,JATTOI,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,16.0,C7-APR-01,29.62261,71.02125,2G/LTE,DC Shared,Outdoor,Genset not Installed,Enfrashare,,,44,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1726,MUL320,RUR1726__S_Chowk NazirWala EC2-JTI-02407,ZTE,JATTOI,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.73857,71.11216,2G/LTE,DC Shared,Outdoor,Genset not Installed,Enfrashare,,,2618,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JTO1901,MUL319,JTO1901__S_THQ Hospital,ZTE,JATTOI,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.51396,70.85407,2G/LTE,DC Shared,Outdoor,Genset not Installed,ATL,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JTO3246,MUL319,JTO3246__S_Near Sultan Road,ZTE,JATTOI,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.504723,70.844748,2G/LTE,DC Shared,Outdoor,Genset not Installed,E.Co,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR3541,MUL319,RUR3541__S_Ali pur Jatoi Road,ZTE,ALIPUR,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.389448,70.906613,2G/LTE,DC Shared,Outdoor,Genset not Installed,E.Co,,,2627,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JTO2608,MUL319,JTO2608__S_Chowk Permit Road JTO,ZTE,JATTOI,ZTE,Bronze,Bronze,Macro,Central B,HNL,R2,32.0,C7-APR-01,29.502877,70.854919,2G/LTE,DC Shared,Outdoor,Genset not Installed,Enfrashare,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY2611,MUL319,"HWY2611__S_Sabai Wala Town, Near jatoi",ZTE,JATTOI,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,32.0,C7-APR-01,29.4813,70.8663,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/UFONE Host,,,2631,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1839,MUL319,RUR1839A__S_Dammer Wala,ZTE,JATTOI,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,32.0,C7-APR-01,29.652166,70.915807,2G/LTE,DC Shared,Outdoor,Genset not Installed,Enfrashare,,,44,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR3553,MUL319,RUR3553__S_PTCL Exchange Shaher Sultan,ZTE,MUZAFARGARH,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,28.0,C7-APR-01,29.5808,71.0192,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/PTCL Host,,,44,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,GKB4567,SUK313,GKB4567_Jat Bhutta Stop,ZTE,NAUDERO,ZTE,Diamond,Diamond,Macro,South,HNL,R2,29.0,S3-LRK-03,27.72082,68.39632,2G/LTE,DC Shared,Outdoor,Genset Installed,Enfrashare,,,2740,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JWR0926,SUK342,JWR0926__S_Jarwar warid_MDMM6778,ZTE,KHANGARH,ZTE,Elite,Elite,Macro,South,HNL,R2,32.0,S3-GTK-05,27.9146,69.5198,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2458,Fixed Site,Non Switch,1,-   ,-   ,1
2G,JWR5829,SUK342,JWR5829__H_Pattafi_Jarwar_A,ZTE,KHANGARH,ZTE,Diamond,Diamond,Macro,South,HNL,R2,32.0,S3-GTK-05,27.9577,69.5107,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,2458,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JWR5830,SUK342,JWR5830__S_Jawar_Shaib_Khan,ZTE,KHANGARH,ZTE,Gold,Gold,Macro,South,HNL,R2,32.0,S3-GTK-05,27.8923,69.5317,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2540,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JWR6267,SUK342,JWR6267__S_Pathan_Goth_Jarwar,ZTE,KHANGARH,ZTE,Diamond,Diamond,Macro,South,HNL,R2,32.0,S3-GTK-05,27.8738,69.5521,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2540,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY8530,LHR005,HWY8530__S_AdaHammadChak,Huawei,NANKANA SAHIB,Huawei,Bronze,Bronze,Macro,Central A,Huawei,R1,2.0,C2-NNK-05,31.2595,73.4521,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,3130,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR6991,FSD330,RUR6991__S_Chak 72 GB,ZTE,JARRANWALA,ZTE,Gold,Gold,Macro,Central B,Mobiserve,R2,21.0,C5-FSD-01,31.293,73.2062,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/TELENOR Host,,,2559,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JRW3110,FSD330,JRW3110__P_FarooqParkJarranWala,ZTE,JARRANWALA,ZTE,Diamond,Diamond,Macro,Central B,Mobiserve,R2,23.0,C5-FSD-01,31.3263,73.4181,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,697,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,JRW4069,FSD330,JRW4069__P_JarranwalaRailway,ZTE,JARRANWALA,ZTE,Elite,Elite,Macro,Central B,Mobiserve,R2,23.0,C5-FSD-01,31.3338,73.4219,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2852,Non Fixed,Non Switch,-   ,-   ,-   ,-   
